version:v1.0
Nombreparamostrar [displayName] Obligatorio,Nombre de usuario [userPrincipalName] Obligatorio,Contraseña inicial [passwordProfile] Obligatorio,Bloquear inicio de sesión (Sí/No) [accountEnabled] Obligatorio,Nombre [givenName],Apellidos [surname],Puesto [jobTitle],Departamento [department],Ubicacion de uso [usageLocation],Calle [streetAddress],Estado o provincia [state],Pais o region [country],Codigo postal [postalCode],Ciudad [city]
Sarah Garcia,sarah.garcia@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Sarah,Garcia,Growth Analyst,marketing,US,5th Avenue 9,New York,EEUU-Este,10001,New York
Ashley Rodriguez,ashley.rodriguez@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Ashley,Rodriguez,HR Director,recursos-humanos,US,5th Avenue 10,New York,EEUU-Este,10001,New York
Michael Miller,michael.miller@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Michael,Miller,CEO,directivos,US,5th Avenue 11,New York,EEUU-Este,10001,New York
Ashley Hernandez,ashley.hernandez@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Ashley,Hernandez,Office Manager,shared,US,5th Avenue 12,New York,EEUU-Este,10001,New York
Jessica Williams,jessica.williams@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Jessica,Williams,Network Engineer,it-sistemas,US,5th Avenue 13,New York,EEUU-Este,10001,New York
Joseph Jones,joseph.jones@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Joseph,Jones,Accountant,finanzas,US,5th Avenue 14,New York,EEUU-Este,10001,New York
Ashley Miller,ashley.miller@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Ashley,Miller,SEO Manager,marketing,US,5th Avenue 15,New York,EEUU-Este,10001,New York
Elizabeth Jones,elizabeth.jones@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Elizabeth,Jones,Payroll Specialist,recursos-humanos,US,5th Avenue 16,New York,EEUU-Este,10001,New York
Megan Davis,megan.davis@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Megan,Davis,Chief of Staff,directivos,US,5th Avenue 17,New York,EEUU-Este,10001,New York
Daniel Brown,daniel.brown@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Daniel,Brown,Executive Assistant,shared,US,5th Avenue 18,New York,EEUU-Este,10001,New York
Brittany Martinez,brittany.martinez@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Brittany,Martinez,Systems Architect,it-sistemas,US,5th Avenue 19,New York,EEUU-Este,10001,New York
Andrew Williams,andrew.williams@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Andrew,Williams,Compliance Officer,finanzas,US,5th Avenue 20,New York,EEUU-Este,10001,New York
Joshua Garcia,joshua.garcia@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Joshua,Garcia,Content Manager,marketing,US,5th Avenue 21,New York,EEUU-Este,10001,New York
Daniel Johnson,daniel.johnson@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Daniel,Johnson,Recruiter,recursos-humanos,US,5th Avenue 22,New York,EEUU-Este,10001,New York
Jessica Davis,jessica.davis@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Jessica,Davis,COO,directivos,US,5th Avenue 23,New York,EEUU-Este,10001,New York
Melissa Miller,melissa.miller@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Melissa,Miller,Receptionist,shared,US,5th Avenue 24,New York,EEUU-Este,10001,New York
Melissa Davis,melissa.davis@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Melissa,Davis,SysAdmin,it-sistemas,US,5th Avenue 25,New York,EEUU-Este,10001,New York
Kylie Anderson,kylie.anderson@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Kylie,Anderson,IT Specialist,it-sistemas,US,Wilshire Blvd 1,California,EEUU-Oeste,90010,Los Angeles
Dylan Lewis,dylan.lewis@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Dylan,Lewis,Controller,finanzas,US,Wilshire Blvd 2,California,EEUU-Oeste,90010,Los Angeles
Shelby Harris,shelby.harris@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Shelby,Harris,Creative Designer,marketing,US,Wilshire Blvd 3,California,EEUU-Oeste,90010,Los Angeles
Austin Clark,austin.clark@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Austin,Clark,Talent Acquisition Specialist,recursos-humanos,US,Wilshire Blvd 4,California,EEUU-Oeste,90010,Los Angeles
Madison Lewis,madison.lewis@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Madison,Lewis,Board Member,directivos,US,Wilshire Blvd 5,California,EEUU-Oeste,90010,Los Angeles
Dylan Clark,dylan.clark@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Dylan,Clark,Document Specialist,shared,US,Wilshire Blvd 6,California,EEUU-Oeste,90010,Los Angeles
Taylor Anderson,taylor.anderson@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Taylor,Anderson,Developer,it-sistemas,US,Wilshire Blvd 7,California,EEUU-Oeste,90010,Los Angeles
Brittney White,brittney.white@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Brittney,White,Finance Manager,finanzas,US,Wilshire Blvd 8,California,EEUU-Oeste,90010,Los Angeles
Zachary Harris,zachary.harris@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Zachary,Harris,Growth Analyst,marketing,US,Wilshire Blvd 9,California,EEUU-Oeste,90010,Los Angeles
Justin Thompson,justin.thompson@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Justin,Thompson,HR Director,recursos-humanos,US,Wilshire Blvd 10,California,EEUU-Oeste,90010,Los Angeles
Madison Robinson,madison.robinson@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Madison,Robinson,CEO,directivos,US,Wilshire Blvd 11,California,EEUU-Oeste,90010,Los Angeles
Logan Gonzalez,logan.gonzalez@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Logan,Gonzalez,Office Manager,shared,US,Wilshire Blvd 12,California,EEUU-Oeste,90010,Los Angeles
Travis Robinson,travis.robinson@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Travis,Robinson,Network Engineer,it-sistemas,US,Wilshire Blvd 13,California,EEUU-Oeste,90010,Los Angeles
Travis Lopez,travis.lopez@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Travis,Lopez,Accountant,finanzas,US,Wilshire Blvd 14,California,EEUU-Oeste,90010,Los Angeles
Alyssa Lee,alyssa.lee@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Alyssa,Lee,SEO Manager,marketing,US,Wilshire Blvd 15,California,EEUU-Oeste,90010,Los Angeles
Nathan Thompson,nathan.thompson@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Nathan,Thompson,Payroll Specialist,recursos-humanos,US,Wilshire Blvd 16,California,EEUU-Oeste,90010,Los Angeles
Shelby Lopez,shelby.lopez@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Shelby,Lopez,Chief of Staff,directivos,US,Wilshire Blvd 17,California,EEUU-Oeste,90010,Los Angeles
Hunter Harris,hunter.harris@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Hunter,Harris,Executive Assistant,shared,US,Wilshire Blvd 18,California,EEUU-Oeste,90010,Los Angeles
Kylie Lewis,kylie.lewis@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Kylie,Lewis,Systems Architect,it-sistemas,US,Wilshire Blvd 19,California,EEUU-Oeste,90010,Los Angeles
Ethan Thompson,ethan.thompson@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Ethan,Thompson,Compliance Officer,finanzas,US,Wilshire Blvd 20,California,EEUU-Oeste,90010,Los Angeles
Alyssa Clark,alyssa.clark@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Alyssa,Clark,Content Manager,marketing,US,Wilshire Blvd 21,California,EEUU-Oeste,90010,Los Angeles
Cassandra Harris,cassandra.harris@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Cassandra,Harris,Recruiter,recursos-humanos,US,Wilshire Blvd 22,California,EEUU-Oeste,90010,Los Angeles
Justin Gonzalez,justin.gonzalez@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Justin,Gonzalez,COO,directivos,US,Wilshire Blvd 23,California,EEUU-Oeste,90010,Los Angeles
Travis Clark,travis.clark@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Travis,Clark,Receptionist,shared,US,Wilshire Blvd 24,California,EEUU-Oeste,90010,Los Angeles
Austin White,austin.white@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Austin,White,SysAdmin,it-sistemas,US,Wilshire Blvd 25,California,EEUU-Oeste,90010,Los Angeles
